School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Received,B_W_G_Received,Rice_Excess,B_W_G_Excess,Rice_Remaining,B_W_G_Remaining,B_W_G_Temperatures,Rice_Temp,Missed_Food,Next_Day_Projection,Food_Arrival_Time,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By,Week,Weekday,Missed_Projection
Githiga Primary,06-01-25,Rice and Greengrams,190,56,54,2,0,3,3,3,3,48,58,10,0,30,37,65,66,0,200,10:40:00,12:10:00,13:15:00,"we  expect kids from grade 4,5,6 will report back to school.",food was delicious,queue was orderly.,we had 54  actual taps.Only grade 8 and 9 came to school.,"we had 3 failed taps, I encouraged the students to remind their parents to pay.",,week1,Monday,134
Githima Primary,06-01-25,Rice and Greengrams,130,116,116,0,0,2,10,0,1,33,40,0,0,4,4,66,65,0,140,12:55:00,13:00:00,12:25:00,I am projecting 140 students because tomorrow grade 1 kids will be reporting tomorrow and I'll also be registering them.,The food was delicious and hot for the kids and they really enjoyed.,I was able to manage the queue with no difficulty with the help of the teacher on duty and the kids were organized today.,Actual meals served are 116 compared to the projection which was 130,We had  failed 10 taps .Parents forgot to top up on time.,Brenda wambui kamawe,week1,Monday,14
Githioro Primary,06-01-25,Rice and Greengrams,155,167,167,0,0,2,7,0,1,39,47,0,0,0,0,68,63,0,200,12:45:00,13:10:00,14:00:00,"We are projecting this number, expecting more students will report tomorrow while some didn't know if we were to offer food for today.",Food was delicious,queueing was done with moderation  assisted by the TOD,Tapped successful 167 compared to  155 Projected an increase by 12,"we had 7 failed tap parents who forgot to top up the account, I asked the students to remind their parents to do so",,week1,Monday,-12
Githunguri Primary,06-01-25,Rice and Greengrams,140,214,205,9,0,3,27,5,4,36,43,0,0,0,0,74,66,0,240,12:25:00,13:00:00,13:40:00,"We project thill 240 tomorrow grade 7 will report to school total number of (89) students ,grade one students will also report tomorrow (60)in total.","The meal was delicious,kids really enjoyed.",line management  was well conducted by teacher on duty.,The actual meals served today was 214 higher than projection meals 140.We bought supplemental meals for 29 kids .,"Failed taps today was 27, being the 1st day of term majority of parents forgot to recharge their kids account.",Samy Migwi,week1,Monday,-74
Gitombo Primary,06-01-25,Rice and Greengrams,85,94,94,0,0,2,8,5,0,22,26,0,0,0,0,64,68,0,140,12:02:00,12:40:00,13:20:00,We are projecting 140 as we expect all students  to show up,The food was warm and delicious,queuing was manageable according to grades,*Today's successful  taps was 94 compared to the projection which was 85,Today we had 8 failed taps as parents had forgotten to top up after holiday,Veronica mwaura,week1,Monday,-9
Ihiga Primary,06-01-25,Rice and Greengrams,80,132,119,13,0,2,9,1,1,31,25,10,0,0,0,65.2,66.7,0,150,10:07:00,13:20:00,13:50:00,We have projected 150 because  Grade 1 students will be joining the program tomorrow.,Food was Delicious.,Line management was well organized with assistance from Teacher on duty.,Number of Actual meals served was 132 higher than the projected number which was 80.Today's turn out was higher than expected.,Today's Failed taps was 9.Parents didn't top up their accounts.,Naomi Njenga.,week1,Monday,-52
Ikinu Primary,06-01-25,Rice and Greengrams,460,521,490,31,0,5,33,36,21,116,140,10,0,0,0,60,70,0,600,12:00:00,12:50:00,13:30:00,we expect higher turnup tomorrow,The food was delicious.,The queue was well managed by TSMS,Numbers of actual meals served was 521 which was low since it's the first day of the term,Failed taps were 33. Parents did not remember to top up the accounts.,,week1,Monday,-61
Kahunira Primary,06-01-25,Rice and Greengrams,390,473,413,60,0,4,27,9,8,99,118,10,13.5,0,0,67,68,0,600,12:39:00,12:50:00,13:40:00,"We project this number because, tomorrow grade 7 will report to school total number of (112) students ,grade one students will also report tomorrow (78)in total.","The meal was delicious,kids really enjoyed.",line management  was well conducted by teacher on duty.,The actual meals served today was 473 as projected meals which was 390.,"Failed taps today was 27, being the 1st day of term majority of parents forgot to recharge their kids account.",Mwangi Mary,week1,Monday,-83
Kamondo Primary,06-01-25,Rice and Greengrams,165,186,174,12,0,3,7,2,1,42,50,0,0,0,0,66,69,0,230,11:16:00,12:40:00,13:30:00,We expect  tomorrow  turn up to be a bit  higher compared to today as we expect more kids to report tomorrow ,The food was tasty but was not enough,Queue was flowing smoothly kids arranged themselves  in their respective classes,Actual taps 186 this is a higher number  compared to projected meals which was at 165,,,week1,Monday,-21
Kanjai Primary,06-01-25,Rice and Greengrams,220,273,251,22,0,3,34,6,2,56,67,11.5,10.5,0,0,62.5,70,0,400,10:00:00,12:40:00,13:20:00,Being the 2nd day in school we expect higher turnout though it will not be normal turnout because G6 will report to school next week on Tuesday.,food was delicious,Teacher on duty helped with Queue management.,The number of Actual meal serverd is 273 compared to the projected food 220,The number of failed taps is 34.,Peninah Njuguna,week1,Monday,-53
Kanyore Primary,06-01-25,Rice and Greengrams,400,354,354,0,0,3,14,9,0,101,121,10,13,9,0,71.3,68.9,0,400,11:42:00,12:40:00,13:17:00,Projected 400 because more kids are expected to report back by tomorrow.,The food was delicious,Queue was well managed.,The number of actual taps was 354 which differed with the projected 400 because most of the kids did not report back for first term 2025.,,,week1,Monday,46
Karia Primary,06-01-25,Rice and Greengrams,230,326,303,23,0,2,21,3,4,58,70,0,0,0,0,65,73,0,400,13:10:00,13:20:00,14:00:00,Tomorrow's projection is 400 as I expect more pupils to report back to school and parents to top up the accounts.,The food was delicious,"The queue management was smooth, Teachers on duty assisted",The actual meals served was 326 compared to the 230 meals projected.,"failed taps were 21, I have urged the pupils to remind their parents to top up.",,week1,Monday,-96
Kiaibabu Primary,06-01-25,Rice and Greengrams,150,175,175,0,0,2,9,3,1,38,46,0,0,0,0,69,72,0,200,10:52:00,14:10:00,14:30:00,We are projecting 200 because  ECDE kids will be reporting back tomorrow ad we are expecting more students will be available tomorrow.,The food was delicious. ,,The queue was transitioning well from class to class.,Tapped successful 175 compared to 150 projected meals.,john kimani,week1,Monday,-25
Kiairia Primary,06-01-25,Rice and Greengrams,80,123,114,9,0,2,8,0,0,21,25,0,0,0,0,40.7,60.6,0,180,13:35:00,13:50:00,14:20:00,We expect  tomorrow  turn up to be a bit  higher compared to today as we expect more kids to report tomorrow and also grade seven are reporting  tomorrow. ,The food was delicious but was not enough,Queue was well managed according to classes.,Actual taps 123 this is a higher number  compared to projected meals which was at 80,,,week1,Monday,-43
Kiambururu Primary,06-01-25,Rice and Greengrams,80,180,161,19,0,3,8,9,0,21,25,0,0,0,0,66.6,63.6,0,240,11:22:00,12:40:00,13:30:00,We expect the number of kids who report tomorrow to increase as well as the ECDE kids .,The food was tasty.,The queue was well managed by the tsm,The number of actual meals 180 compared to the 80 projected,We had 8 failed taps.The parents had not topped up their accounts.,Gladys Njeri.,week1,Monday,-100
Kiawaiguru Primary,06-01-25,Rice and Greengrams,100,125,125,0,0,2,3,3,0,26,31,0,0,0,0,68,74,0,140,12:16:00,12:40:00,13:15:00,We are projecting 140 as we expect all kids to be present,The food was warm and sweet,queuing was done with moderation  in order of classes,*Today's successful  taps was 125 compared to projection was 100,Today we had 3 failed taps as parents had forgotten to top up after holiday,DAVID NDUNG'U KINYANJUI,week1,Monday,-25
Kiawairia Primary,06-01-25,Rice and Greengrams,100,97,97,0,0,2,1,4,3,19,23,0,0,0,0,64,63,0,110,12:31:00,13:00:00,13:19:00,We are projecting this number expecting more students will be available tomorrow.,food was delicious,queuing was done with moderation  assisted by the TOD,Tapped successful 97 compared to  100 Projected a decrease since most of the students were absent,we had 1 failed tap parent who forgot to top up the account.,,week1,Monday,3
Kibichoi Primary,06-01-25,Rice and Greengrams,130,135,135,0,0,2,1,2,0,33,40,0,0,0,0,65,78,0,140,10:50:00,12:40:00,13:05:00,We are projecting this number expecting more students will be available tomorrow.,The food was delicious.,The queue was transitioning from class to class.,Tapped successful 135 compared to 130 projected which surpassed the projection.,,Beth Kabura,week1,Monday,-5
Kigumo Primary,06-01-25,Rice and Greengrams,120,114,114,0,0,2,6,11,0,31,37,0,0,1.5,0,61,72,0,135,11:24:00,12:40:00,13:21:00,"We are projecting 135,we are expecting the kids to turn up well and also hoping the number of failed taps to reduce.",Food was delicious.,Queue management was orderly assisted by the teacher on duty,We had 114 actual meals served which is slightly lower to the projection which was 120 considering the fact its the first day of school this term many kids missed school.,We had 6 failed taps since parents did not top up their accounts.,James Marigono Kinyanjui,week1,Monday,6
Kihuririo Primary,06-01-25,Rice and Greengrams,270,321,321,0,0,3,5,5,0,68,82,0,0,0,0,65,69.8,0,400,11:08:00,12:50:00,13:40:00,i am   expecting the number of students to increase tomorrow considering some students were absent.,food was delicious,queue was well organized with the help of head teacher.,we had 321successful taps an increase by 51 compared to projection270 .,we had 5 failed taps.parents forgot to top up on time .I encouraged the students to remind their parents to pay.,,week1,Monday,-51
Kindiga Primary,06-01-25,Rice and Greengrams,70,76,71,5,0,2,2,3,0,18,22,0,0,0,0,60,64.3,0,130,11:04:00,12:50:00,13:05:00,We projects an increase in meals served as grade 7 resumes tomorrow.,food was Well cooked.,the queues were well organized.,The Actual meal served was 76,failed taps were 2,,week1,Monday,-6
Komothai Primary,06-01-25,Rice and Greengrams,100,90,90,0,0,2,2,1,0,26,37,0,0,2,1.8,68,60,0,110,9:04:00,12:40:00,13:14:00,l expect more students to report tomorrow.,The food was delicious.,I managed the queue orderly.,Actual meals served today is 90 which is a lower number compared to the food projection of 100 since today being opening day most students had not reported back.,Failed taps today were 2. The parents forgot to top up their accounts.,Jane Wanjiru,week1,Monday,10
Lioki Primary,06-01-25,Rice and Greengrams,70,97,86,11,0,2,17,0,0,18,22,0,0,0,0,66.7,67.7,0,120,13:30:00,13:40:00,13:55:00,We have projected 120 as we expect kids to continue reporting back to school ,The food was delicious and hot,The queues were well organized with the help of TOD,the number of actual meals served today is 97. Food projected was 70.,failed taps number is 17 .parents. Failed to top up,,week1,Monday,-27
Mathanja Primary,06-01-25,Rice and Greengrams,75,93,93,0,0,2,10,6,0,19,23,10,0,0,0,65,69.8,0,120,12:05:00,12:35:00,13:15:00,we  expect all the students to resume school tomorrow.,food was delicious,queue was transitioning well from class to class,we had 93 successful taps an increase by 18 compared to projection.,"we had 10 failed taps, I encouraged the students to remind their parents to pay.",,week1,Monday,-18
Matuguta Primary,06-01-25,Rice and Greengrams,200,331,315,16,0,3,22,24,1,51,61,10,0,0,0,64,69.6,0,450,10:23:00,12:40:00,13:40:00,Being the 2nd day in school we expect higher turnout since more students will resume back. Also because of the new ECD students joining thr school.,food was delicious,Line management was good.,The number of Actual meal served is 331 compared to the projected food 200.,The number of failed taps is 22. Reminded the kids to remind their parents to top up.,Haron Muiruri,week1,Monday,-131
Miguta Primary,06-01-25,Rice and Greengrams,170,191,172,19,0,2,3,1,0,43,52,0,1,0,1,70,73,0,250,10:52:00,12:45:00,14:25:00,We are expecting higher turnout and will be registering grade 1 students tomorrow.,The food was delicious.,"The queue was a bit delayed, due to students moving to new classes.","*There number of successful taps was 190, a higher number than the projected number of 170.",We had two failed taps.,Anastacia Njoroge,week1,Monday,-21
Miiri Primary,06-01-25,Rice and Greengrams,150,223,207,16,0,3,28,3,3,38,46,0,15,0,0,69,73,0,390,9:40:00,12:30:00,13:30:00,We expect an  increase in students turnout  being the second day of school opening.,The food was delicious.,Queues were managed by the TOD.,Actual meals served was 223 compared to the projected 150,"Failed tabs were 28,parents will be reminded to recharge.",Daniel,week1,Monday,-73
Mitahato Primary,06-01-25,Rice and Greengrams,160,191,191,0,0,2,3,5,1,41,49,0,0,0,0,60,67,0,250,11:07:00,13:00:00,13:45:00,we expect higher turnup tomorrow,The food was delicious.,The queue was well managed.,Numbers of actual meals served increased to 191 compared to the projected 160. A good number of kids reported to school.,Failed taps were 3. Parents did not remember to top up the accounts.,,week1,Monday,-31
Mukubu Primary,06-01-25,Rice and Greengrams,130,131,131,0,0,2,15,15,0,33,40,0,0,0,0,68,65.2,0,160,10:44:00,12:38:00,13:40:00,The number of absentee will decrease and kids will turn up well tomorrow,Food was enough.,Line management was orderly,actual taps was 131We have many absentees since it's an opening day and kids never turned up all,Today's failed taps was 15parents did  top to their accounts.,,week1,Monday,-1
Ndireti Primary,06-01-25,Rice and Greengrams,120,97,132,0,0,3,8,5,0,31,67,0,0,0,0,76,74,0,140,11:45:00,12:40:00,13:00:00,We are projecting 150 because  ECDE kids will be reporting back tomorrow ad we are expecting more students will be available tomorrow.,*The food was delicious,*I managed the queue  successfully.,We had 132 actual taps.,We had 4 failed taps. There were parents who forgot to top up their accounts.,George Gichungwa,week1,Monday,23
Ngemwa Primary,06-01-25,Rice and Greengrams,150,157,139,18,0,2,3,3,1,38,46,0,0,0,0,66,77,0,140,10:27:00,12:45:00,13:15:00,I am projecting this number because we expect more kids to resume school tomorrow.,The meal was delicious.,The line management was very successful.,Numbers of actual meals served increased to 157 compared to the projected 150. A good number of kids reported to school.,Failed taps were 3. Parents did not remember to top up the accounts.,Lucy Njoki,week1,Monday,-7
Ngewa Primary,06-01-25,Rice and Greengrams,220,204,204,0,0,2,7,4,0,56,67,0,10.5,4,4,50,51,0,250,10:32:00,12:30:00,13:30:00,we are expecting more students to attend school tomorrow,The food was delicious.,The queue was well organized with the help of the teachers on duty.,Actual meals served today is 204 which is a decrease compared to the projection which was 220. Most students did not attend school today.,"There were 7 failed taps, respective parents forgot to top up their accounts.",Eric Muriithi,week1,Monday,16
Njunu Primary,06-01-25,Rice and Greengrams,140,162,162,0,0,2,5,1,0,36,43,0,0,0,0,60,66,0,210,11:50:00,12:46:00,13:16:00,Projected 210 because  the ECD will open school tomorrow and the absent students today might report tomorrow ,The food was sweet and delicious,Queueing was well managed with the help of the teacher on duty,successful taps were 162 a difference of 22 taps from today's projection of 140.,5 failed taps,,week1,Monday,-22
Nyaga Primary,06-01-25,Rice and Greengrams,320,243,243,0,0,3,8,5,1,81,97,10,12.5,15.5,23.1,59,66,0,550,10:25:00,12:18:00,13:21:00,"We are projecting 550, we are expecting the kids to turn up well and also hoping the number of failed taps to reduce",Food was delicious.,Queue management was orderly assisted by the teacher on duty,We had 243 actual meals served which is lower to the projection which was 320 considering the fact its the first day of school this term many kids missed school.,We had 8 failed taps since parents did not top up their accounts.,Erick Murage,week1,Monday,77
Riamute Primary,06-01-25,Rice and Greengrams,155,243,224,19,0,3,15,7,1,40,47,0,0,0,0,65,70,0,280,10:50:00,12:30:00,13:20:00,We expect the number to increase as we move on,*The food was delicious and hot.,Queues were orderly and organised with the help of TOD,*The number of actual taps was 243  since it was day one of the new term,We had 15 failed taps since the parents didn't topping up their account.,,week1,Monday,-88
Thuita Primary,06-01-25,Rice and Greengrams,130,128,128,0,0,2,4,3,3,33,40,0,0,0,0,70,70,0,135,10:17:00,12:40:00,13:25:00,Projecting this number because pupils are expected to report back tomorrow.,The food was delicious,I properly managed the queue without assistance,The number of actual meals served today is 128.A lower number compared to the projected which is 130.This is because some pupils are yet to report back to school,Today's failed taps are 4. Some parents forgot to top up their accounts.,Tabitha Gachi,week1,Monday,2
Ak Magugu Primary,07-01-25,Rice and Beans,340,382,346,36,0,3,15,7,4,86,103,0,0,0,0,60,71.4,0,390,11:45:00,12:20:00,14:00:00,We expect more students to report to school tomorrow.,The food was delicious.,"The queues were orderly, especially with the help of the teacher on duty.",The number of actual meals served increased from255 to 382. More students were present today.,The number of failed taps  increased from 12 to 15. Respective parents had not topped up their account .,Margaret  Maigua.,week1,Tuesday,-42
Gataka Primary,07-01-25,Rice and Beans,200,201,183,18,0,2,5,5,1,51,61,10,0,0,0,64,69,0,230,11:03:00,12:40:00,13:30:00,We anticipate a higher turnout as we expect more kids to report to  school tomorrow.,The food was delicious.,The kids were orderly without the assistance of a teacher.,The number of  actual meals served rose from 138 to 201 as more kids reported back today.,There number of failed taps rose from 4 to 5. We reminded kids to request their parents to top up their accounts.,Esther  Wanjiru  Kimani,week1,Tuesday,-1
Gathaithi Primary,07-01-25,Rice and Beans,150,213,377,44,0,3,14,5,2,83,100,0,0,0,0,60,75.4,0,500,9:22:00,12:40:00,13:40:00,"We project 330 expecting that more students will report back to school tomorrow, parents will top up and more students will be registered.",Food was very delicious.,Queue was well managed  with the help of teacher on duty.,Failed taps was 14 a decrease from yesterday which was 17,Number of actual meals served was 421 an increase from 284 because more kids reported back and we still had new registrations.,Jane Wanjiru,week1,Tuesday,-63
Gathangari Primary,07-01-25,Rice and Beans,300,334,334,0,0,3,3,5,3,76,91,10,0,0,0,60,75,0,380,11:32:00,12:00:00,13:00:00,We are projecting 250 because we expect the number of kids who will report tomorrow to increase. ,The food was tasty,queue management was good with the help of the teacher on duty.,successful taps were 334 which is an increase from yesterday's 220. Most of the kids reported back today.,"failed taps were 3, a decrease from yesterday's 5. We couldn't reach the parents.",,week1,Tuesday,-34
Gathanji Primary,07-01-25,Rice and Beans,310,304,281,23,0,2,20,9,1,78,94,0,0,0,0,57,75.3,0,300,12:10:00,13:00:00,14:15:00,"The headteacher has communicated that , tomorrow grade 7 learners have been given a day off to gather documents required to register for JSS. However we expect more children to turn up tomorrow being the second day . And more children will be registered for pp1.",The meal was delicious and enough for everyone.,line management  was well maintained by the school captains.,The actual meals served today was 304  higher than 262 yesterday . We had an increase in school turnup today .,Failed taps today was 20 a decrease from 32 yesterday. Parents topped up accounts on time .,Nelson Kageche .,week1,Tuesday,6
Gathiruini Primary,07-01-25,Rice and Beans,220,251,251,0,0,2,9,3,0,56,67,0,0,0,0,60,65,0,270,12:34:00,13:00:00,13:45:00,we are projecting this number because we are expecting more students will be present tomorrow,The food was delicious.,The queue was well organized with the help of the teachers on duty.,Actual meals served today is 251 which is an increase compared to the yesterday which was 184,"failed tap's today were 9 an increase from 5  , parents didn't topped up their accounts .",Catherine wairimu,week1,Tuesday,-31
Gathugu Primary,07-01-25,Rice and Beans,200,241,241,0,0,2,10,4,0,51,61,0,0,5,6,64,62,0,250,11:45:00,12:30:00,13:30:00,Projecting 200 because the head teacher has said that more pupils will report tomorrow.,Food was hot,Line was orderly.,"Successful taps increased from yesterdayÃÂÃÂ¢ÃÂÃÂÃÂÃÂs 130, to today 241 ,most pupils reported to school",Failed taps were 10 just like yesterday.,Ann,week1,Tuesday,-41
Gatina Primary,07-01-25,Rice and Beans,250,306,290,16,0,3,11,1,2,63,76,10,0,0,0,63,72,0,350,11:20:00,12:50:00,13:40:00,"Being the 2nd day in school, we expect the turnout to be higher than today.","The meal was delicious,kids really enjoyed.",line management  was well conducted by teacher on duty.,The actual meals served today was 306 higher than 225 of yesterday. Some if the kids reported day and parents were able to top up the account on time .,Failed tads have decreased from 13 to 11.,DENNÃÂÃÂÃÂÃÂ°S KANG'ETHE,week1,Tuesday,-56
Gatitu Primary,07-01-25,Rice and Beans,310,344,320,24,0,0,8,6,1,78,94,0,0,0,0,65.6,72,0,365,9:50:00,12:30:00,14:02:00,300:we expect ECDE to report tomorrow and more students to report back to school,food was Well cooked.,the queues were well organized by the tsm,The Actual meal served was 344 An increase from yesterday's 259. Students are still reporting back,failed taps were 8 just like yesterday .parents didn't top up,,week1,Tuesday,-34
Giathieko Primary,07-01-25,Rice and Beans,150,168,168,0,0,2,3,4,0,38,46,8,0,0,0,65,75,0,170,11:47:00,12:40:00,13:00:00,We are projecting 150 because ECDE kids will be reporting back tomorrow and we are expecting more students will be available tomorrow.,The food was delicious,Queues were transitioning well from class to class.,The number of successful taps increased from 97 to 168 as more kids reported back today especially ECDE kids.,,George Gichungwa,week1,Tuesday,-18
Githiga Primary,07-01-25,Rice and Beans,250,142,139,3,0,0,5,7,0,63,76,10,0,30,37,65.6,67,0,200,10:40:00,12:10:00,13:15:00,"we  expect kids from grade 4,5,6 will report back to school.",food was Well cooked.,the queues were well organized by the tsm,"The Actual meal served was 142,An increase from yesterday's 56. Students are still reporting back","failed taps were  5,an increase from 3 .parents didn't top up",,week1,Tuesday,108
Githima Primary,07-01-25,Rice and Beans,140,180,180,0,0,2,9,7,0,33,40,10,0,4,4,68,65,0,200,12:55:00,13:00:00,12:25:00,I am projecting 140 students because tomorrow grade 1 kids will be reporting tomorrow and I'll also be registering them.,The food was delicious and hot for the kids to enjoy.,"I was able to manage the queue with no difficulty with the help of the teacher on duty and the deputy headteacher,plus the kids were organized.",Actual meals served are 180 compared to yesterday's actual meals served which were 116.Most kids attended and grade 1 kids were reporting today .,We had 9 failed taps which is a decrease from yesterday's 10 failed taps .Parents forgot to top up on time.,Brenda wambui kamawe,week1,Tuesday,-40
Githioro Primary,07-01-25,Rice and Beans,220,266,266,0,0,2,9,2,1,56,67,0,0,0,0,58,65,0,300,12:45:00,13:10:00,14:00:00,"We are projecting this number, expecting more students will report tomorrow while some didn't know if we were to offer food for today.",The food was delicious and warm.,I was assisted by the grade 1 teacher for queueing of grades 1 to 3. The other grades managed to arrange themselves .,"Successful taps were 266 , an increase compared to yesterday's 157. students, especially grades 1 and 9reported back to school .",Failed taps today were 9 an increase from  7. Some of those who reported to school had not top up their accounts.,,week1,Tuesday,-46
Githunguri Primary,07-01-25,Rice and Beans,260,309,289,20,0,3,23,14,5,66,79,10,0,0,0,67,72,0,380,12:25:00,13:00:00,13:40:00,"We project thill 240 tomorrow grade 7 will report to school total number of (89) students ,grade one students will also report tomorrow (60)in total.","The meal was delicious,kids really enjoyed.",line management  was well conducted by teacher on duty.,The actual meals served today was 308 higher than yesterday  229.,"Failed taps today were 23,  lower than yesterday 27 being the 2nd day of term majority of parents forgot to recharge their kids account.",Samy Migwi,week1,Tuesday,-49
Gitombo Primary,07-01-25,Rice and Beans,140,142,142,0,0,2,1,2,1,36,43,0,0,0,0,65,65,0,145,12:02:00,12:40:00,13:20:00,We are projecting 140 as we expect all students  to show up,The food was delicious.,The queue was well organized with the help of the teachers on duty.,"Actual meals served today is 142, a increase of 48 from  yesterday's 94 as most pupils had not reported back.",Today's failed tap was 1 a decrease of 7 from 8 yesterday's as parents did remember to top up their account on time.,Veronica mwaura,week1,Tuesday,-2
Ihiga Primary,07-01-25,Rice and Beans,160,161,148,13,0,2,3,13,1,51,49,10,0,0,0,66.1,69.2,0,165,10:07:00,13:20:00,13:50:00,We have projected 150 because  Grade 1 students will be joining the program tomorrow.,Food was Enough.,Queues were manageable even without teachers assistance.,Number of Actual meals served was 161 an increase from yesterday's number which was 132.We started feeding some of grade one students which contributed to a higher number.,Today's Failed taps was 3 a decrease from yesterday's which was 9.We reached out to parents whose accounts had insufficient funds and they topped up.,Naomi Njenga.,week1,Tuesday,-1
Ikinu Primary,07-01-25,Rice and Beans,600,762,719,43,0,0,31,33,14,151,182,0,0,0,0,68,72,0,800,12:00:00,12:50:00,13:30:00,we expect higher turnup tomorrow,food was delicious,queuing was done with moderation  assisted by the TSMs,we had 762 successful taps an increase  compared to yesterdays which was 521 because of higher turn up,we had 31failed taps a slight decrease from yesterday which wwa 33.Parents are   continuing to top up,,week1,Tuesday,-162
